weather,time_str,city,order_type,time_hour,time_segment,weather_type,recommended_dish
Cloudy,23:55,Urban,Snack,23,Late-Night,Cool/Rainy,Pizza
Windy,22:50,Metropolitian,Meal,22,Dinner,Hot/Dry,Biryani
Stormy,10:25,Urban,Snack,10,Morning,Cool/Rainy,North Indian
Sandstorms,08:45,Urban,Meal,8,Morning,Hot/Dry,North Indian
Sandstorms,21:25,Metropolitian,Buffet,21,Dinner,Hot/Dry,Biryani
Cloudy,22:35,Urban,Snack,22,Dinner,Cool/Rainy,Biryani
Fog,20:10,Metropolitian,Drinks,20,Dinner,Cool/Rainy,Biryani
Sandstorms,10:55,Urban,Snack,10,Morning,Hot/Dry,North Indian
Cloudy,20:35,Metropolitian,Snack,20,Dinner,Cool/Rainy,Biryani
Sunny,23:20,Metropolitian,Drinks,23,Late-Night,Hot/Dry,Pizza
Cloudy,10:35,Metropolitian,Meal,10,Morning,Cool/Rainy,North Indian
Sunny,23:45,Metropolitian,Snack,23,Late-Night,Hot/Dry,Pizza
Windy,19:55,Metropolitian,Drinks,19,Dinner,Hot/Dry,Biryani
Sandstorms,22:15,Metropolitian,Snack,22,Dinner,Hot/Dry,Biryani
Sunny,23:10,Metropolitian,Buffet,23,Late-Night,Hot/Dry,Pizza
Cloudy,09:15,,Drinks,9,Morning,Cool/Rainy,North Indian
Cloudy,18:25,Urban,Drinks,18,Tea-Time,Cool/Rainy,Biryani
Sandstorms,22:10,Metropolitian,Meal,22,Dinner,Hot/Dry,Biryani
Cloudy,20:50,Metropolitian,Drinks,20,Dinner,Cool/Rainy,Biryani
Sunny,,Metropolitian,Snack,12,Lunch,Hot/Dry,Chaat
Fog,18:45,Metropolitian,Snack,18,Tea-Time,Cool/Rainy,Chaat
Sunny,14:55,Metropolitian,Meal,14,Lunch,Hot/Dry,Chaat
Sandstorms,16:50,Metropolitian,Drinks,16,Tea-Time,Hot/Dry,Chaat
Sandstorms,22:20,Metropolitian,Drinks,22,Dinner,Hot/Dry,Biryani
Windy,1,Metropolitian,Meal,1,Late-Night,Hot/Dry,Pizza
Fog,21:10,Metropolitian,Snack,21,Dinner,Cool/Rainy,Biryani
Sunny,23:25,Metropolitian,Drinks,23,Late-Night,Hot/Dry,Pizza
Sunny,23:30,Metropolitian,Drinks,23,Late-Night,Hot/Dry,Pizza
Sunny,14:20,Metropolitian,Snack,14,Lunch,Hot/Dry,Chaat
Fog,10:15,Urban,Meal,10,Morning,Cool/Rainy,Coffee
Cloudy,21:20,Metropolitian,Snack,21,Dinner,Cool/Rainy,Biryani
Fog,08:50,Metropolitian,Snack,8,Morning,Cool/Rainy,Coffee
Cloudy,0.375,Metropolitian,Buffet,12,Lunch,Cool/Rainy,North Indian
Windy,17:45,Metropolitian,Drinks,17,Tea-Time,Hot/Dry,Chaat
Fog,23:10,Metropolitian,Drinks,23,Late-Night,Cool/Rainy,Pizza
Fog,16:35,Urban,Meal,16,Tea-Time,Cool/Rainy,Chaat
Sandstorms,08:30,Metropolitian,Snack,8,Morning,Hot/Dry,North Indian
Fog,20:35,Metropolitian,Buffet,20,Dinner,Cool/Rainy,Biryani
Windy,23:25,Metropolitian,Snack,23,Late-Night,Hot/Dry,Pizza
Stormy,,,Snack,12,Lunch,Cool/Rainy,North Indian
Fog,19:55,Metropolitian,Snack,19,Dinner,Cool/Rainy,Biryani
Sandstorms,21:20,Metropolitian,Meal,21,Dinner,Hot/Dry,Biryani
Stormy,21:45,Metropolitian,Meal,21,Dinner,Cool/Rainy,Biryani
Sunny,19:40,Metropolitian,Meal,19,Dinner,Hot/Dry,Biryani
Sandstorms,14:50,Urban,Snack,14,Lunch,Hot/Dry,North Indian
Fog,18:10,Metropolitian,Buffet,18,Tea-Time,Cool/Rainy,Chaat
Cloudy,12:20,Urban,Snack,12,Lunch,Cool/Rainy,North Indian
Cloudy,23:40,Metropolitian,Buffet,23,Late-Night,Cool/Rainy,Pizza
Windy,12:50,Urban,Drinks,12,Lunch,Hot/Dry,North Indian
Sandstorms,23:20,,Buffet,23,Late-Night,Hot/Dry,Pizza
Stormy,17:50,Metropolitian,Snack,17,Tea-Time,Cool/Rainy,Chaat
Windy,10:25,Metropolitian,Buffet,10,Morning,Hot/Dry,Coffee
Windy,09:10,Metropolitian,Buffet,9,Morning,Hot/Dry,Coffee
Cloudy,12:30,Metropolitian,Snack,12,Lunch,Cool/Rainy,North Indian
Sandstorms,17:10,Metropolitian,Drinks,17,Tea-Time,Hot/Dry,Chaat
Cloudy,19:15,Urban,Meal,19,Dinner,Cool/Rainy,Biryani
Sandstorms,23:50,Metropolitian,Buffet,23,Late-Night,Hot/Dry,Pizza
Fog,18:45,Urban,Drinks,18,Tea-Time,Cool/Rainy,Chaat
Sunny,20:40,Metropolitian,Meal,20,Dinner,Hot/Dry,Biryani
Windy,22:10,Metropolitian,Drinks,22,Dinner,Hot/Dry,Biryani
Windy,17:20,Metropolitian,Buffet,17,Tea-Time,Hot/Dry,Chaat
Fog,19:55,Metropolitian,Buffet,19,Dinner,Cool/Rainy,Biryani
Stormy,18:15,Metropolitian,Snack,18,Tea-Time,Cool/Rainy,Biryani
Fog,23:50,Metropolitian,Snack,23,Late-Night,Cool/Rainy,Pizza
Fog,17:25,Metropolitian,Meal,17,Tea-Time,Cool/Rainy,Chaat
Stormy,23:45,Metropolitian,Drinks,23,Late-Night,Cool/Rainy,Pizza
Windy,18:30,Urban,Snack,18,Tea-Time,Hot/Dry,Chaat
Windy,21:35,Metropolitian,Drinks,21,Dinner,Hot/Dry,Biryani
Windy,08:40,Metropolitian,Drinks,8,Morning,Hot/Dry,Coffee
Windy,22:35,Metropolitian,Buffet,22,Dinner,Hot/Dry,Biryani
Windy,11:45,Metropolitian,Meal,11,Lunch,Hot/Dry,North Indian
Stormy,23:25,Urban,Meal,23,Late-Night,Cool/Rainy,Pizza
Sunny,19:10,Metropolitian,Snack,19,Dinner,Hot/Dry,Biryani
Fog,18:45,Metropolitian,Meal,18,Tea-Time,Cool/Rainy,Chaat
Cloudy,18:15,Metropolitian,Snack,18,Tea-Time,Cool/Rainy,Biryani
Sandstorms,22:30,Metropolitian,Meal,22,Dinner,Hot/Dry,Biryani
Fog,0.791666667,Urban,Buffet,12,Lunch,Cool/Rainy,North Indian
Windy,13:10,Metropolitian,Buffet,13,Lunch,Hot/Dry,North Indian
Sandstorms,,Metropolitian,Drinks,12,Lunch,Hot/Dry,North Indian
Windy,17:55,Metropolitian,Meal,17,Tea-Time,Hot/Dry,Chaat
Cloudy,19:50,Metropolitian,Snack,19,Dinner,Cool/Rainy,Biryani
Fog,21:15,Metropolitian,Drinks,21,Dinner,Cool/Rainy,Biryani
Fog,19:35,Metropolitian,Buffet,19,Dinner,Cool/Rainy,Biryani
Stormy,19:10,Metropolitian,Meal,19,Dinner,Cool/Rainy,Biryani
Fog,21:20,Metropolitian,Drinks,21,Dinner,Cool/Rainy,Biryani
Sandstorms,09:50,Metropolitian,Snack,9,Morning,Hot/Dry,North Indian
Stormy,20:35,Metropolitian,Snack,20,Dinner,Cool/Rainy,Biryani
Sandstorms,21:15,Semi-Urban,Meal,21,Dinner,Hot/Dry,Biryani
Windy,0.958333333,Metropolitian,Buffet,12,Lunch,Hot/Dry,North Indian
Cloudy,0.625,Metropolitian,Buffet,12,Lunch,Cool/Rainy,North Indian
Fog,19:45,Metropolitian,Meal,19,Dinner,Cool/Rainy,Biryani
Sunny,17:45,Metropolitian,Drinks,17,Tea-Time,Hot/Dry,Chaat
Sunny,0.375,Metropolitian,Meal,12,Lunch,Hot/Dry,Chaat
Sunny,0.833333333,Metropolitian,Meal,12,Lunch,Hot/Dry,Chaat
Fog,12:50,Metropolitian,Meal,12,Lunch,Cool/Rainy,North Indian
Fog,21:40,Metropolitian,Snack,21,Dinner,Cool/Rainy,Biryani
Sunny,19:55,Metropolitian,Buffet,19,Dinner,Hot/Dry,Biryani
Sandstorms,19:35,Metropolitian,Snack,19,Dinner,Hot/Dry,Biryani
Sandstorms,22:35,Urban,Snack,22,Dinner,Hot/Dry,Biryani
Stormy,17:10,Metropolitian,Snack,17,Tea-Time,Cool/Rainy,Chaat
Cloudy,19:35,Metropolitian,Meal,19,Dinner,Cool/Rainy,Biryani
Sandstorms,10:30,Metropolitian,Snack,10,Morning,Hot/Dry,North Indian
Windy,18:10,Metropolitian,Meal,18,Tea-Time,Hot/Dry,Chaat
Stormy,10:10,Metropolitian,Meal,10,Morning,Cool/Rainy,North Indian
Fog,17:50,Metropolitian,Snack,17,Tea-Time,Cool/Rainy,Chaat
Fog,08:50,,Snack,8,Morning,Cool/Rainy,Coffee
Stormy,19:55,Metropolitian,Drinks,19,Dinner,Cool/Rainy,Biryani
Fog,17:55,Metropolitian,Snack,17,Tea-Time,Cool/Rainy,Chaat
Fog,15:30,Metropolitian,Buffet,15,Lunch,Cool/Rainy,North Indian
Windy,09:40,Metropolitian,Buffet,9,Morning,Hot/Dry,Coffee
Windy,18:20,Metropolitian,Drinks,18,Tea-Time,Hot/Dry,Chaat
Windy,15:35,Metropolitian,Drinks,15,Lunch,Hot/Dry,North Indian
Sandstorms,18:15,Metropolitian,Buffet,18,Tea-Time,Hot/Dry,Chaat
Fog,16:55,Urban,Drinks,16,Tea-Time,Cool/Rainy,Chaat
Sunny,18:10,Metropolitian,Meal,18,Tea-Time,Hot/Dry,Chaat
Fog,19:15,Metropolitian,Snack,19,Dinner,Cool/Rainy,Biryani
Windy,18:25,,Drinks,18,Tea-Time,Hot/Dry,Chaat
Stormy,20:30,Metropolitian,Meal,20,Dinner,Cool/Rainy,Biryani
Stormy,22:55,Metropolitian,Meal,22,Dinner,Cool/Rainy,Biryani
Stormy,10:55,Metropolitian,Meal,10,Morning,Cool/Rainy,North Indian
Windy,0.666666667,Metropolitian,Snack,12,Lunch,Hot/Dry,North Indian
Sunny,14:50,Metropolitian,Snack,14,Lunch,Hot/Dry,Chaat
Fog,20:20,Metropolitian,Snack,20,Dinner,Cool/Rainy,Biryani
Cloudy,0.791666667,Metropolitian,Meal,12,Lunch,Cool/Rainy,North Indian
Sandstorms,18:15,Metropolitian,Buffet,18,Tea-Time,Hot/Dry,Chaat
Fog,23:35,Metropolitian,Snack,23,Late-Night,Cool/Rainy,Pizza
Cloudy,19:35,Metropolitian,Meal,19,Dinner,Cool/Rainy,Biryani
Sunny,23:35,,Buffet,23,Late-Night,Hot/Dry,Pizza
Stormy,0.75,Metropolitian,Drinks,12,Lunch,Cool/Rainy,North Indian
Fog,18:10,Urban,Buffet,18,Tea-Time,Cool/Rainy,Chaat
Sandstorms,,Metropolitian,Snack,12,Lunch,Hot/Dry,North Indian
Windy,21:10,Metropolitian,Snack,21,Dinner,Hot/Dry,Biryani
Windy,23:40,Metropolitian,Buffet,23,Late-Night,Hot/Dry,Pizza
Fog,0.458333333,Metropolitian,Buffet,12,Lunch,Cool/Rainy,North Indian
Sandstorms,22:45,Metropolitian,Drinks,22,Dinner,Hot/Dry,Biryani
Sunny,0.458333333,Metropolitian,Drinks,12,Lunch,Hot/Dry,Chaat
Fog,23:25,Metropolitian,Drinks,23,Late-Night,Cool/Rainy,Pizza
Sunny,0.875,Metropolitian,Meal,12,Lunch,Hot/Dry,Chaat
Cloudy,19:30,Metropolitian,Snack,19,Dinner,Cool/Rainy,Biryani
Windy,22:55,Urban,Drinks,22,Dinner,Hot/Dry,Biryani
Sunny,20:25,Urban,Buffet,20,Dinner,Hot/Dry,Biryani
Stormy,12:35,Metropolitian,Drinks,12,Lunch,Cool/Rainy,North Indian
Sunny,18:55,Metropolitian,Buffet,18,Tea-Time,Hot/Dry,Chaat
Sandstorms,22:45,Metropolitian,Buffet,22,Dinner,Hot/Dry,Biryani
Windy,23:45,Metropolitian,Drinks,23,Late-Night,Hot/Dry,Pizza
Cloudy,15:25,Urban,Buffet,15,Lunch,Cool/Rainy,North Indian
Sunny,11:30,Metropolitian,Snack,11,Lunch,Hot/Dry,North Indian
Windy,22:35,Urban,Snack,22,Dinner,Hot/Dry,Biryani
Sandstorms,23:35,Metropolitian,Meal,23,Late-Night,Hot/Dry,Pizza
Sunny,,Urban,Buffet,12,Lunch,Hot/Dry,Chaat
Stormy,10:25,Metropolitian,Buffet,10,Morning,Cool/Rainy,North Indian
Stormy,22:20,Metropolitian,Drinks,22,Dinner,Cool/Rainy,Biryani
Windy,17:15,Metropolitian,Snack,17,Tea-Time,Hot/Dry,Chaat
Windy,21:30,Urban,Meal,21,Dinner,Hot/Dry,Biryani
Sandstorms,18:40,Urban,Snack,18,Tea-Time,Hot/Dry,Chaat
Fog,15:10,Metropolitian,Buffet,15,Lunch,Cool/Rainy,North Indian
Stormy,22:50,Metropolitian,Buffet,22,Dinner,Cool/Rainy,Biryani
Windy,19:30,Metropolitian,Drinks,19,Dinner,Hot/Dry,Biryani
Stormy,20:30,Metropolitian,Buffet,20,Dinner,Cool/Rainy,Biryani
Cloudy,18:35,Urban,Snack,18,Tea-Time,Cool/Rainy,Biryani
Sunny,18:45,Metropolitian,Snack,18,Tea-Time,Hot/Dry,Chaat
Fog,23:10,Metropolitian,Buffet,23,Late-Night,Cool/Rainy,Pizza
Cloudy,11:10,Metropolitian,Meal,11,Lunch,Cool/Rainy,North Indian
Sunny,13:50,Metropolitian,Drinks,13,Lunch,Hot/Dry,Chaat
Stormy,18:40,Metropolitian,Snack,18,Tea-Time,Cool/Rainy,Biryani
Cloudy,21:15,Metropolitian,Buffet,21,Dinner,Cool/Rainy,Biryani
Sandstorms,21:45,Metropolitian,Drinks,21,Dinner,Hot/Dry,Biryani
Sunny,21:20,Metropolitian,Snack,21,Dinner,Hot/Dry,Biryani
Fog,22:45,Metropolitian,Meal,22,Dinner,Cool/Rainy,Biryani
Stormy,20:10,Urban,Snack,20,Dinner,Cool/Rainy,Biryani
Fog,18:20,Metropolitian,Buffet,18,Tea-Time,Cool/Rainy,Chaat
Windy,20:40,Metropolitian,Snack,20,Dinner,Hot/Dry,Biryani
Stormy,0.416666667,,Drinks,12,Lunch,Cool/Rainy,North Indian
Sandstorms,22:30,Metropolitian,Meal,22,Dinner,Hot/Dry,Biryani
Sandstorms,21:50,Urban,Buffet,21,Dinner,Hot/Dry,Biryani
Stormy,11:50,Metropolitian,Buffet,11,Lunch,Cool/Rainy,North Indian
Fog,17:25,Metropolitian,Snack,17,Tea-Time,Cool/Rainy,Chaat
Cloudy,21:55,Metropolitian,Drinks,21,Dinner,Cool/Rainy,Biryani
Cloudy,18:40,Metropolitian,Meal,18,Tea-Time,Cool/Rainy,Biryani
Windy,20:25,Metropolitian,Buffet,20,Dinner,Hot/Dry,Biryani
Fog,21:45,Metropolitian,Buffet,21,Dinner,Cool/Rainy,Biryani
Fog,22:20,,Meal,22,Dinner,Cool/Rainy,Biryani
Sandstorms,20:55,Metropolitian,Meal,20,Dinner,Hot/Dry,Biryani
Cloudy,21:35,Metropolitian,Drinks,21,Dinner,Cool/Rainy,Biryani
Stormy,21:15,Urban,Buffet,21,Dinner,Cool/Rainy,Biryani
Fog,23:30,Urban,Buffet,23,Late-Night,Cool/Rainy,Pizza
Cloudy,17:15,Metropolitian,Snack,17,Tea-Time,Cool/Rainy,Chaat
Sandstorms,20:45,Metropolitian,Snack,20,Dinner,Hot/Dry,Biryani
Stormy,,Urban,Meal,12,Lunch,Cool/Rainy,North Indian
Cloudy,13:30,Metropolitian,Snack,13,Lunch,Cool/Rainy,North Indian
Sandstorms,0.916666667,Metropolitian,Drinks,12,Lunch,Hot/Dry,North Indian
Fog,23:20,,Buffet,23,Late-Night,Cool/Rainy,Pizza
Fog,18:35,Metropolitian,Meal,18,Tea-Time,Cool/Rainy,Chaat
Sandstorms,20:40,Urban,Snack,20,Dinner,Hot/Dry,Biryani
Fog,08:25,Metropolitian,Buffet,8,Morning,Cool/Rainy,Coffee
Stormy,17:45,Metropolitian,Drinks,17,Tea-Time,Cool/Rainy,Chaat
Windy,22:25,Urban,Snack,22,Dinner,Hot/Dry,Biryani
Sandstorms,11:30,Metropolitian,Drinks,11,Lunch,Hot/Dry,North Indian
Sandstorms,21:45,Urban,Snack,21,Dinner,Hot/Dry,Biryani
Cloudy,17:25,Urban,Snack,17,Tea-Time,Cool/Rainy,Chaat
Sunny,09:40,Metropolitian,Drinks,9,Morning,Hot/Dry,North Indian
Windy,20:55,Metropolitian,Buffet,20,Dinner,Hot/Dry,Biryani
Sunny,17:10,Urban,Drinks,17,Tea-Time,Hot/Dry,Chaat
Stormy,18:25,Metropolitian,Drinks,18,Tea-Time,Cool/Rainy,Biryani
Fog,,Metropolitian,Drinks,12,Lunch,Cool/Rainy,North Indian
Sunny,17:55,Metropolitian,Snack,17,Tea-Time,Hot/Dry,Chaat
Windy,19:55,Metropolitian,Snack,19,Dinner,Hot/Dry,Biryani
Windy,0.958333333,Metropolitian,Buffet,12,Lunch,Hot/Dry,North Indian
Sunny,21:15,Metropolitian,Drinks,21,Dinner,Hot/Dry,Biryani
Cloudy,10:40,Urban,Buffet,10,Morning,Cool/Rainy,North Indian
Fog,11:20,Urban,Drinks,11,Lunch,Cool/Rainy,North Indian
Sandstorms,0.75,Metropolitian,Meal,12,Lunch,Hot/Dry,North Indian
Sandstorms,17:10,Urban,Snack,17,Tea-Time,Hot/Dry,Chaat
Fog,18:25,Urban,Buffet,18,Tea-Time,Cool/Rainy,Chaat
Windy,23:10,Urban,Snack,23,Late-Night,Hot/Dry,Pizza
Windy,17:15,Metropolitian,Meal,17,Tea-Time,Hot/Dry,Chaat
Stormy,11:55,Metropolitian,Meal,11,Lunch,Cool/Rainy,North Indian
Cloudy,09:30,Urban,Snack,9,Morning,Cool/Rainy,North Indian
Windy,22:40,Metropolitian,Drinks,22,Dinner,Hot/Dry,Biryani
Fog,17:10,Metropolitian,Drinks,17,Tea-Time,Cool/Rainy,Chaat
Fog,17:10,Metropolitian,Meal,17,Tea-Time,Cool/Rainy,Chaat
Windy,18:30,Urban,Snack,18,Tea-Time,Hot/Dry,Chaat
Sandstorms,11:50,Metropolitian,Meal,11,Lunch,Hot/Dry,North Indian
Sunny,0.791666667,Metropolitian,Buffet,12,Lunch,Hot/Dry,Chaat
Sandstorms,23:55,Metropolitian,Buffet,23,Late-Night,Hot/Dry,Pizza
Stormy,19:45,Metropolitian,Drinks,19,Dinner,Cool/Rainy,Biryani
Windy,20:30,Metropolitian,Drinks,20,Dinner,Hot/Dry,Biryani
Fog,11:10,Metropolitian,Drinks,11,Lunch,Cool/Rainy,North Indian
Cloudy,0.375,Metropolitian,Drinks,12,Lunch,Cool/Rainy,North Indian
Sandstorms,19:30,Urban,Buffet,19,Dinner,Hot/Dry,Biryani
Fog,,Metropolitian,Meal,12,Lunch,Cool/Rainy,North Indian
Fog,08:20,Urban,Meal,8,Morning,Cool/Rainy,Coffee
Sunny,0.458333333,Urban,Buffet,12,Lunch,Hot/Dry,Chaat
Fog,20:30,Metropolitian,Buffet,20,Dinner,Cool/Rainy,Biryani
Cloudy,19:45,Metropolitian,Drinks,19,Dinner,Cool/Rainy,Biryani
Windy,22:25,Metropolitian,Drinks,22,Dinner,Hot/Dry,Biryani
Sandstorms,0.666666667,Metropolitian,Drinks,12,Lunch,Hot/Dry,North Indian
Windy,21:30,Metropolitian,Snack,21,Dinner,Hot/Dry,Biryani
Windy,15:25,,Buffet,15,Lunch,Hot/Dry,North Indian
Windy,17:25,Metropolitian,Meal,17,Tea-Time,Hot/Dry,Chaat
Stormy,11:45,Urban,Buffet,11,Lunch,Cool/Rainy,North Indian
Sandstorms,20:15,Metropolitian,Drinks,20,Dinner,Hot/Dry,Biryani
Sandstorms,10:25,Metropolitian,Snack,10,Morning,Hot/Dry,North Indian
Cloudy,08:25,Metropolitian,Snack,8,Morning,Cool/Rainy,North Indian
Cloudy,17:15,Urban,Buffet,17,Tea-Time,Cool/Rainy,Chaat
Windy,22:45,Metropolitian,Buffet,22,Dinner,Hot/Dry,Biryani
Windy,12:35,Metropolitian,Snack,12,Lunch,Hot/Dry,North Indian
Sunny,,Metropolitian,Drinks,12,Lunch,Hot/Dry,Chaat
Cloudy,12:20,Metropolitian,Buffet,12,Lunch,Cool/Rainy,North Indian
Sunny,22:55,Metropolitian,Snack,22,Dinner,Hot/Dry,Biryani
